Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Mounié Steve,A,6,9.0,4.5,0.0,4.9,1,0,29,0.0,0.0,1.18,0,0,8,0.0,0.0,0.66,21,0,1771,21.0,0.0,61.07,,221.0,6.0,1000.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.5,4.5,8.0,4.0,6.0,5.0,4.0,4.5,4.0,4.5,5.0,4.0,4.5,6.5,3.5,6.0,4.5,3.0,0.0,3.0,0.0,4.5,5.0,6.5,,,,,,,,0.4,15.0,,,54.55,1.0,,,3.5,Brest,Nice,2022-11-06,50.0,0.34379,0.34522,0.36343,† Incertain
Zeffane Mehdi,DL,5,5.0,4.5,0.0,4.5,1,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19,0,19,19.0,0.0,19.0,,,,1000.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,4.0,,,,1.0,,,0.0,Clermont,Montpellier,2022-11-06,50.0,0.32168,0.35121,0.3711,† Forfait (2sem.)
Alphonse Mickaël,DL,10,10.0,4.5,0.0,4.69,10,0,16,0.47,0.0,0.77,0,0,0,0.7,0.0,0.75,638,0,1092,63.8,0.0,68.25,,,,1000.0,0.0,0.0,5.0,4.5,4.5,5.0,5.0,0.0,4.0,4.5,3.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,1.5,,,,,,7.0,0.6551,479.0,16.0,9.0,53.66,9.0,,,0.0,Ajaccio,Strasbourg,2022-11-05,0.02,0.34564,0.34673,0.34982,
Grbic Adrian,A,1,1.0,4.5,0.0,4.64,2,0,11,0.0,0.0,0.74,0,0,1,0.0,0.0,0.27,23,0,390,11.5,0.0,35.45,,390.0,6.5,1000.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,3.5,5.0,,,,,,,,0.25,11.0,,,,3.0,,,0.0,Lorient,Paris,2022-11-06,50.0,0.47207,0.45952,0.434,
Youssouf Mohamed,DL,8,10.0,4.5,4.6,4.94,9,5,26,0.61,0.22,0.57,0,0,0,0.78,0.8,0.88,665,379,2099,73.89,75.8,80.73,,,,1000.0,4.5,4.5,4.5,5.0,4.5,0.0,5.0,5.0,3.0,4.5,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,0.0,1.0,,,,,,7.0,0.7273,535.0,17.0,8.0,48.84,17.0,,,0.0,Ajaccio,Strasbourg,2022-11-05,0.02,0.34564,0.34673,0.34982,
Diomandé Sinaly,DC,5,5.0,4.5,0.0,4.86,3,0,7,0.87,0.0,0.63,0,0,0,1.0,0.0,0.57,254,0,359,84.67,0.0,51.29,,,,1000.0,0.0,4.0,4.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.8741,225.0,8.0,2.0,57.69,4.0,,,0.0,Lyon,Marseille,2022-11-06,50.0,0.67322,0.6338,0.61818,
Ekitike Hugo,MO,8,10.0,4.5,0.0,5.11,7,0,23,0.29,0.0,1.32,0,0,7,0.14,0.0,0.57,133,0,1091,19.0,0.0,47.43,,156.0,5.5,1000.0,0.0,4.5,0.0,0.0,5.0,0.0,4.5,4.5,4.5,0.0,0.0,4.5,4.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.0,7.0,3.0,0.0,0.0,6.5,7.5,5.5,6.5,4.5,7.0,,,,,,,,0.7302,92.0,2.0,1.0,38.1,1.0,,,0.0,Paris,Lorient,2022-11-06,50.0,0.81345,0.80954,0.8137,
Delaye Sacha,A,3,3.0,4.5,0.0,4.5,2,0,13,0.0,0.0,0.58,0,0,0,0.0,0.0,0.23,16,0,273,8.0,0.0,21.0,,,,1000.0,0.0,0.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.5,4.5,6.0,0.0,4.0,0.0,0.0,4.5,0.0,5.0,0.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,,,,,,,,0.5625,15.0,,,100.0,,,,4.5,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,
Mensah Gideon,DL,8,8.0,4.5,6.0,4.56,5,1,25,1.12,0.0,0.96,0,0,0,1.0,1.0,0.6,450,90,1429,90.0,90.0,57.16,,,,1000.0,6.0,0.0,0.0,0.0,0.0,4.5,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,0.0,0.0,2.5,6.5,5.0,4.0,5.0,3.5,4.5,5.5,4.0,3.5,0.0,0.0,0.0,5.5,0.0,0.0,5.0,5.0,5.0,1.0,,,,,,2.0,0.8389,367.0,11.0,7.0,55.17,11.0,,,0.0,Auxerre,Troyes,2022-11-04,26.749999999999996,0.31924,0.31885,0.3208,
Camblan Axel,MO,1,1.0,4.5,4.5,4.5,2,1,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,29,16,29,14.5,16.0,14.5,,,,1000.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.8334,17.0,,,62.5,,,,0.0,Brest,Nice,2022-11-06,50.0,0.34379,0.34522,0.36343,
Jakolis Marin,A,1,2.0,4.5,0.0,4.45,1,0,11,0.0,0.0,0.47,0,0,0,0.0,0.0,0.18,27,0,251,27.0,0.0,22.82,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.0,5.0,4.0,4.5,5.0,0.0,0.0,4.5,4.5,5.0,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.8,14.0,,1.0,16.67,1.0,,,4.5,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,🏠Ecarté (2sem.)
Jean Dany,MD,1,1.0,4.5,0.0,4.5,1,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8,0,8,8.0,0.0,8.0,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.4,9.0,,,,,,,0.0,Strasbourg,Ajaccio,2022-11-05,44.82000000000001,0.48208,0.48539,0.48543,
Chétti Ilyés,DL,3,3.0,4.5,0.0,4.5,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,57,28.5,0.0,28.5,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,0.9167,60.0,,,28.57,1.0,,,0.0,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,
Holm Noah,A,8,8.0,4.5,4.5,4.5,4,2,4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,36,2,36,9.0,1.0,9.0,,,,1000.0,4.5,4.5,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.7,34.0,,,38.1,1.0,,,0.0,Reims,Nantes,2022-11-06,50.0,0.46319,0.45885,0.46317,
Gueguin Axel,MO,1,1.0,4.5,0.0,4.5,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,12,0,12,6.0,0.0,6.0,,,,1000.0,0.0,0.0,4.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.6667,11.0,,,,,,,0.0,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,
Mendy Batista,DC,11,12.0,4.46,4.38,4.69,12,8,37,1.08,1.22,0.98,0,0,1,1.0,1.0,0.81,951,681,2594,79.25,85.13,70.11,,2594.0,7.0,1000.0,3.5,5.0,3.0,4.5,4.0,6.0,6.0,3.0,0.0,3.5,5.5,4.5,5.0,5.5,4.5,7.0,4.0,4.5,5.0,4.5,5.5,3.5,5.5,5.0,4.5,4.0,5.0,4.5,2.5,0.0,6.0,0.0,0.0,4.5,6.5,5.0,0.0,4.5,1.5,,,,,,1.0,0.8422,575.0,8.0,14.0,54.55,22.0,,,4.0,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,
Diallo Ismaël,DL,9,12.0,4.45,0.0,4.67,10,0,27,0.83,0.0,0.67,0,0,0,0.8,0.0,0.93,746,0,2258,74.6,0.0,83.63,,,,1000.0,0.0,4.5,0.0,5.0,3.0,5.5,4.5,4.5,0.0,3.0,4.5,5.0,5.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,4.5,5.0,0.0,4.5,5.0,5.5,4.5,4.5,5.0,5.0,4.5,0.0,4.5,6.0,5.0,5.0,1.5,,,,,,1.0,0.7514,474.0,7.0,8.0,47.76,14.0,,,0.0,Ajaccio,Strasbourg,2022-11-05,0.02,0.34564,0.34673,0.34982,
Onaiwu Ado,A,8,9.0,4.45,4.5,4.74,10,2,37,0.37,0.0,0.87,0,0,5,0.0,0.0,0.49,228,34,1957,22.8,17.0,52.89,,391.0,5.0,1000.0,4.5,4.5,0.0,0.0,4.5,4.5,4.0,4.5,5.0,4.0,4.0,5.0,0.0,3.5,7.0,4.5,6.5,4.5,5.0,6.0,4.0,4.5,6.0,4.5,4.5,0.0,5.0,4.5,7.0,4.5,3.5,5.5,4.5,4.5,3.5,6.0,4.5,4.5,,,,,1.0,,,0.786,114.0,,3.0,50.0,2.0,,,0.0,Toulouse,Monaco,2022-11-06,50.0,0.40192,0.42868,0.42487,
Bayo Mohamed,A,19,29.0,4.44,4.5,4.88,8,2,33,0.42,0.0,1.05,0,0,10,0.25,0.0,0.7,208,5,2084,26.0,2.5,63.15,,208.0,5.5,1000.0,4.5,4.5,0.0,0.0,4.5,4.0,5.0,0.0,4.0,0.0,0.0,4.0,5.0,5.5,5.0,7.0,4.0,7.0,6.0,5.0,3.0,5.0,4.5,4.0,0.0,4.0,6.5,4.0,4.5,0.0,0.0,0.0,0.0,6.0,4.0,6.0,3.5,4.5,,,,,,1.0,2.0,0.7056,69.0,,1.0,29.63,3.0,,,0.0,Lille,Rennes,2022-11-06,50.0,0.62169,0.61256,0.64176,
Makouana Béni,A,6,,4.4,0.0,4.43,5,0,23,0.22,0.0,0.27,0,0,0,0.0,0.0,0.04,101,0,371,20.2,0.0,16.13,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,4.5,4.0,0.0,4.5,4.0,0.0,4.5,0.0,0.0,0.0,4.5,4.5,4.5,0.0,4.0,4.0,4.5,0.0,4.5,4.5,0.0,4.5,0.0,0.0,0.0,4.5,5.0,4.5,5.0,,,,,,,,0.3262,47.0,,,20.0,2.0,,,4.5,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,† Sélection
Sima Abdallah,A,9,9.0,4.4,4.4,4.4,10,10,10,0.46,0.46,0.46,0,0,0,0.5,0.5,0.5,441,441,441,44.1,44.1,44.1,,,,1000.0,4.0,4.5,5.0,4.0,3.5,5.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2.0,2.0,0.8334,137.0,1.0,1.0,37.78,6.0,,,0.0,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,
Cardona Irvin,A,8,9.0,4.39,0.0,4.5,9,0,32,0.33,0.0,0.62,0,0,2,0.11,0.0,0.22,211,0,974,23.44,0.0,30.44,,487.0,6.0,1000.0,0.0,4.5,4.5,0.0,4.0,4.5,4.5,4.0,0.0,0.0,4.5,5.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,4.5,0.0,0.0,3.5,6.0,0.0,0.0,4.5,0.0,4.0,4.0,4.0,4.5,0.0,4.0,4.5,0.0,4.5,4.5,,,,,,,3.0,0.5749,82.0,2.0,,32.0,4.0,,,4.25,Brest,Nice,2022-11-06,50.0,0.34379,0.34522,0.36343,
Appiah Dennis,DL,8,8.0,4.38,4.38,4.6,13,13,40,0.85,0.85,0.74,0,0,0,0.69,0.69,0.7,769,769,2606,59.15,59.15,65.15,,,,1000.0,5.0,5.0,5.0,2.5,3.5,5.0,3.0,4.5,4.5,5.0,4.5,5.0,4.5,5.0,3.5,5.5,5.0,5.0,3.5,0.0,5.0,5.5,5.0,4.5,5.0,4.5,4.5,6.0,5.0,4.0,0.0,5.5,0.0,5.0,5.0,5.0,5.0,3.5,1.0,,,,,,6.0,0.6994,552.0,10.0,10.0,40.19,14.0,,,6.0,Nantes,Reims,2022-11-06,50.0,0.49983,0.46611,0.48028,
Virginius Alan,A,7,7.0,4.38,0.0,4.84,4,0,28,0.25,0.0,0.86,0,0,3,0.0,0.0,0.21,56,0,797,14.0,0.0,28.46,,266.0,6.5,1000.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,4.0,0.0,4.5,0.0,0.0,4.5,4.5,4.0,4.5,4.5,7.0,4.5,4.5,4.5,4.5,5.0,7.0,0.0,4.0,6.0,5.0,5.0,6.5,4.5,0.0,4.5,0.0,4.0,5.0,4.0,,,,,,,,0.7247,38.0,1.0,,16.67,1.0,,,0.0,Lille,Rennes,2022-11-06,50.0,0.62169,0.61256,0.64176,
Nyamsi Gerzino,DC,9,10.0,4.33,4.5,5.07,6,3,36,0.41,0.5,0.85,0,0,0,1.0,1.0,1.0,478,270,3178,79.67,90.0,88.28,,,,1000.0,4.5,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,3.0,6.0,5.5,4.0,5.5,5.5,5.5,5.5,6.0,5.5,5.5,5.0,5.0,5.0,6.0,6.0,3.0,5.5,5.5,5.5,3.5,6.0,5.0,5.5,4.5,,,,,,,,0.8554,298.0,4.0,2.0,48.15,8.0,,,0.0,Strasbourg,Ajaccio,2022-11-05,44.82000000000001,0.48208,0.48539,0.48543,
Amadou Ibrahim,MD,7,7.0,4.3,4.3,4.73,5,5,15,0.91,0.91,1.03,0,0,1,0.6,0.6,0.87,309,309,1123,61.8,61.8,74.87,,1123.0,7.0,1000.0,3.5,4.0,3.5,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,7.0,4.0,0.0,6.0,4.5,6.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.8455,175.0,8.0,5.0,53.33,3.0,,,0.0,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,Sursis (11sem.)
Touzghar Yoann,A,10,12.0,4.3,0.0,4.54,5,0,25,0.27,0.0,0.59,0,0,2,0.6,0.0,0.48,238,0,1150,47.6,0.0,46.0,,575.0,6.0,1000.0,0.0,0.0,0.0,0.0,4.0,4.0,4.5,4.5,4.5,0.0,0.0,0.0,0.0,6.5,4.0,0.0,4.5,4.0,4.5,4.5,4.5,4.5,4.5,0.0,0.0,6.0,4.5,5.0,4.0,0.0,0.0,0.0,0.0,4.0,4.5,4.5,4.0,4.5,,,,,,,,0.7401,90.0,,2.0,38.46,3.0,,,0.0,Ajaccio,Strasbourg,2022-11-05,0.02,0.34564,0.34673,0.34982,† Incertain
Bamba Abdoulaye,DL,8,,4.29,4.0,4.44,7,1,17,0.81,0.0,0.77,0,0,0,0.29,0.0,0.35,372,45,827,53.14,45.0,48.65,,,,1000.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,3.0,3.5,4.5,5.0,0.0,0.0,5.0,5.0,5.0,3.5,4.0,3.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.848,221.0,6.0,5.0,66.67,5.0,,,0.0,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,Sursis (8sem.)
Coeff Alexandre,DC,7,7.0,4.29,0.0,4.92,7,0,25,1.6,0.0,1.12,0,0,1,0.86,0.0,0.72,585,0,1817,83.57,0.0,72.68,,1817.0,7.0,1000.0,0.0,0.0,0.0,4.0,0.0,3.5,1.5,4.0,5.0,6.5,5.5,0.0,0.0,4.5,0.0,5.0,5.5,7.0,5.5,5.5,0.0,5.0,5.5,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,3.5,5.5,4.0,0.0,0.0,0.0,1.0,,,,1.0,1.0,2.0,0.8258,434.0,8.0,5.0,45.95,3.0,,,0.0,Auxerre,Troyes,2022-11-04,26.749999999999996,0.31924,0.31885,0.3208,
Barcola Bradley,A,8,8.0,4.29,0.0,4.53,7,0,18,0.27,0.0,0.65,0,0,0,0.0,0.0,0.11,74,0,331,10.57,0.0,18.39,,,,1000.0,0.0,0.0,0.0,0.0,4.0,4.5,0.0,4.5,4.5,4.5,0.0,4.0,4.0,5.5,3.0,0.0,5.5,4.5,4.5,6.0,4.5,0.0,4.5,0.0,0.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,,,,,,,,0.7659,52.0,1.0,2.0,37.5,2.0,,,5.0,Lyon,Marseille,2022-11-06,50.0,0.67322,0.6338,0.61818,
Kamara Bingourou,G,7,7.0,4.25,4.75,4.25,4,2,4,1.32,1.77,1.32,0,0,0,0.75,0.5,0.75,317,137,317,79.25,68.5,79.25,,,,1000.0,3.5,6.0,0.0,0.0,3.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,7.0,1.0,0.0,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,
Valery Yan,DL,9,9.0,4.25,4.25,4.36,8,8,14,0.6,0.6,0.69,0,0,0,1.0,1.0,0.86,582,582,996,72.75,72.75,71.14,,,,1000.0,5.0,4.5,4.0,3.5,3.5,4.5,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,4.0,0.0,4.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,5.0,0.7415,339.0,8.0,7.0,42.86,10.0,,,0.0,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,
Hountondji Cédric,DC,9,9.0,4.23,4.23,4.54,13,13,28,0.88,0.88,0.98,0,0,1,1.0,1.0,1.0,1158,1158,2473,89.08,89.08,88.32,,2473.0,5.5,1000.0,4.5,4.5,4.0,4.0,4.0,5.5,6.0,3.0,3.0,4.0,4.0,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,5.0,6.0,5.5,5.5,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.5,,,,,,,0.8431,645.0,18.0,10.0,52.54,14.0,,,0.0,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,
Léo Jardim,G,7,9.0,4.17,0.0,5.21,6,0,21,1.21,0.0,1.33,0,0,0,1.0,0.0,1.0,540,0,1890,90.0,0.0,90.0,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,2.0,4.5,5.5,4.0,6.0,4.0,4.0,7.0,5.0,5.5,5.5,5.5,6.0,6.0,6.0,8.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,3.0,1.0,4.0,Lille,Rennes,2022-11-06,50.0,0.62169,0.61256,0.64176,
Sabanovic Halid,DL,5,,4.13,0.0,4.13,4,0,4,0.85,0.0,0.85,0,0,0,1.0,0.0,1.0,259,0,259,64.75,0.0,64.75,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,1.0,0.779,172.0,3.0,2.0,45.0,4.0,,,0.0,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,🏠Ecarté (2sem.)
Logan Costa Logan,DC,1,1.0,4.0,0.0,4.38,1,0,4,0.0,0.0,0.75,0,0,0,0.0,0.0,0.25,45,0,144,45.0,0.0,36.0,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.95,23.0,1.0,,50.0,,,,0.0,Toulouse,Monaco,2022-11-06,50.0,0.40192,0.42868,0.42487,
Pereira Brayann,DL,1,2.0,4.0,0.0,4.63,2,0,4,1.41,0.0,1.11,0,0,0,1.0,0.0,0.5,180,0,193,90.0,0.0,48.25,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,0.8015,121.0,2.0,5.0,63.33,1.0,,,0.0,Auxerre,Troyes,2022-11-04,26.749999999999996,0.31924,0.31885,0.3208,
Buksa Adam,A,9,11.0,4.0,0.0,4.0,4,0,4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,59,0,59,14.75,0.0,14.75,,,,1000.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.6,28.0,,,20.0,4.0,,,0.0,Lens,Angers,2022-11-05,58.84,0.64435,0.63676,0.61376,† Incertain
Camara Ousmane,MD,5,,3.75,0.0,5.27,2,0,24,0.35,0.0,0.83,0,0,0,1.0,0.0,0.96,180,0,1966,90.0,0.0,81.92,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.0,0.0,0.0,0.0,5.5,5.5,4.5,3.5,5.5,5.5,0.0,0.0,5.5,0.0,0.0,0.0,6.0,0.0,6.5,6.0,5.5,4.0,5.5,5.5,6.0,6.0,6.0,5.5,5.5,,,,,,,,0.9355,148.0,2.0,1.0,60.0,1.0,,,0.0,Angers,Lens,2022-11-05,0.02,0.3657,0.36141,0.33846,🏠Ecarté (2sem.)
Bamba Abdoul Kader,MO,5,5.0,3.5,0.0,4.96,4,0,28,2.35,0.0,1.52,0,0,2,0.25,0.0,0.68,171,0,1671,42.75,0.0,59.68,,836.0,6.0,1000.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,0.0,5.0,0.0,0.0,0.0,0.0,3.5,4.0,3.5,0.0,3.5,6.0,5.0,0.0,6.0,4.0,6.0,4.5,7.5,5.0,7.0,4.5,6.0,4.0,5.0,4.5,5.0,4.5,6.0,6.0,6.0,1.0,,,,,,,0.7,57.0,,,30.77,3.0,,,0.0,Nantes,Reims,2022-11-06,50.0,0.49983,0.46611,0.48028,Suspendu
Sollacaro François-Joseph,G,7,7.0,3.0,0.0,5.07,1,0,7,0.0,0.0,1.43,0,0,0,1.0,0.0,0.71,90,0,584,90.0,0.0,83.43,,,,1000.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,Ajaccio,Strasbourg,2022-11-05,0.02,0.34564,0.34673,0.34982,
Leca Jean-Louis,G,7,7.0,0.0,0.0,5.47,0,0,18,0.0,0.0,1.23,0,0,0,0.0,0.0,1.0,0,0,1504,0.0,0.0,83.56,,,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.5,0.0,0.0,8.0,6.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,5.5,6.0,4.5,5.5,6.0,6.0,5.5,2.5,,,,,,,,,,,,,,,,5.75,Lens,Angers,2022-11-05,58.84,0.64435,0.63676,0.61376,
